Date,region,Case,Count
2020-03-24,Medina,Active cases,1
2020-03-24,Najran,Active cases,9
2020-03-24,Northern Borders,Active cases,0
2020-03-24,Qassim,Active cases,1
2020-03-24,Riyadh,Active cases,279
2020-03-24,Tabuk,Active cases,1
2020-03-25,Al Bahah,Active cases,13
2020-03-25,Al Jouf,Active cases,0
2020-03-25,Asir,Active cases,24
2020-03-25,Eastern Region,Active cases,153
2020-03-25,Hail,Active cases,0
2020-03-25,Jazan,Active cases,7
2020-03-25,Mecca,Active cases,287
2020-03-25,Medina,Active cases,7
2020-03-25,Najran,Active cases,13
2020-03-25,Northern Borders,Active cases,2
2020-03-25,Qassim,Active cases,1
2020-03-25,Riyadh,Active cases,361
2020-03-25,Tabuk,Active cases,1
2020-03-26,Al Bahah,Active cases,13
2020-03-26,Al Jouf,Active cases,0
2020-03-26,Asir,Active cases,24
2020-03-26,Eastern Region,Active cases,166
2020-03-26,Hail,Active cases,0
2020-03-26,Jazan,Active cases,7
2020-03-26,Mecca,Active cases,344
2020-03-26,Medina,Active cases,9
2020-03-26,Najran,Active cases,13
2020-03-26,Northern Borders,Active cases,2
2020-03-26,Qassim,Active cases,2
2020-03-26,Riyadh,Active cases,395
2020-03-26,Tabuk,Active cases,1
2020-03-27,Al Bahah,Active cases,13
2020-03-27,Al Jouf,Active cases,0
2020-03-27,Asir,Active cases,24
2020-03-27,Eastern Region,Active cases,184
2020-03-27,Hail,Active cases,0
2020-03-27,Jazan,Active cases,7
2020-03-27,Mecca,Active cases,351
2020-03-27,Medina,Active cases,28
2020-03-27,Najran,Active cases,13
2020-03-27,Northern Borders,Active cases,2
2020-03-27,Qassim,Active cases,4
2020-03-27,Riyadh,Active cases,439
2020-03-27,Tabuk,Active cases,1
2020-03-28,Al Bahah,Active cases,13
2020-03-28,Al Jouf,Active cases,0
2020-03-28,Asir,Active cases,28
2020-03-28,Eastern Region,Active cases,199
2020-03-28,Hail,Active cases,0
2020-03-28,Jazan,Active cases,7
2020-03-28,Mecca,Active cases,381
2020-03-28,Medina,Active cases,34
2020-03-28,Najran,Active cases,13
2020-03-28,Northern Borders,Active cases,2
2020-03-28,Qassim,Active cases,4
2020-03-28,Riyadh,Active cases,477
2020-03-28,Tabuk,Active cases,4
2020-03-29,Al Bahah,Active cases,13
2020-03-29,Al Jouf,Active cases,0
2020-03-29,Asir,Active cases,28
2020-03-29,Eastern Region,Active cases,231
2020-03-29,Hail,Active cases,0
2020-03-29,Jazan,Active cases,7
2020-03-29,Mecca,Active cases,372
2020-03-29,Medina,Active cases,46
2020-03-29,Najran,Active cases,13
2020-03-29,Northern Borders,Active cases,2
2020-03-29,Qassim,Active cases,4
2020-03-29,Riyadh,Active cases,504
2020-03-29,Tabuk,Active cases,5
2020-03-30,Al Bahah,Active cases,13
2020-03-30,Al Jouf,Active cases,0
2020-03-30,Asir,Active cases,29
2020-03-30,Eastern Region,Active cases,282
2020-03-30,Hail,Active cases,0
2020-03-30,Jazan,Active cases,8
2020-03-30,Mecca,Active cases,377
2020-03-30,Medina,Active cases,69
2020-03-30,Najran,Active cases,13
2020-03-30,Northern Borders,Active cases,2
2020-03-30,Qassim,Active cases,6
2020-03-30,Riyadh,Active cases,525
2020-03-30,Tabuk,Active cases,6
2020-03-31,Al Bahah,Active cases,13
2020-03-31,Al Jouf,Active cases,0
2020-03-31,Asir,Active cases,31
2020-03-31,Eastern Region,Active cases,299
2020-03-31,Hail,Active cases,0
2020-03-31,Jazan,Active cases,10
2020-03-31,Mecca,Active cases,386
2020-03-31,Medina,Active cases,70
2020-03-31,Najran,Active cases,13
2020-03-31,Northern Borders,Active cases,2
2020-03-31,Qassim,Active cases,7
2020-03-31,Riyadh,Active cases,551
2020-03-31,Tabuk,Active cases,6
2020-04-01,Al Bahah,Active cases,13
2020-04-01,Al Jouf,Active cases,0
2020-04-01,Asir,Active cases,31
2020-04-01,Eastern Region,Active cases,295
2020-04-01,Hail,Active cases,0
2020-04-01,Jazan,Active cases,7
2020-04-01,Mecca,Active cases,388
2020-04-01,Medina,Active cases,144
2020-04-01,Najran,Active cases,12
2020-04-01,Northern Borders,Active cases,2
2020-04-01,Qassim,Active cases,7
2020-04-01,Riyadh,Active cases,533
2020-04-01,Tabuk,Active cases,8
2020-04-02,Al Bahah,Active cases,13
2020-04-02,Al Jouf,Active cases,0
2020-04-02,Asir,Active cases,34
2020-04-02,Eastern Region,Active cases,310
2020-04-02,Hail,Active cases,0
2020-04-02,Jazan,Active cases,3
2020-04-02,Mecca,Active cases,444
2020-04-02,Medina,Active cases,185
2020-04-02,Najran,Active cases,-1
2020-04-02,Northern Borders,Active cases,0
2020-04-02,Qassim,Active cases,7
2020-04-02,Riyadh,Active cases,533
2020-04-02,Tabuk,Active cases,8
2020-04-03,Al Bahah,Active cases,13
2020-04-03,Al Jouf,Active cases,0
2020-04-03,Asir,Active cases,32
2020-04-03,Eastern Region,Active cases,325
2020-04-03,Hail,Active cases,0
2020-04-03,Jazan,Active cases,3
2020-04-03,Mecca,Active cases,484
2020-04-03,Medina,Active cases,214
2020-04-03,Najran,Active cases,2
2020-04-03,Northern Borders,Active cases,0
2020-04-03,Qassim,Active cases,19
2020-04-03,Riyadh,Active cases,544
2020-04-03,Tabuk,Active cases,27
2020-04-04,Al Bahah,Active cases,9
2020-04-04,Al Jouf,Active cases,0
2020-04-04,Asir,Active cases,26
2020-04-04,Eastern Region,Active cases,353
2020-04-04,Hail,Active cases,0
2020-04-04,Jazan,Active cases,-2
2020-04-04,Mecca,Active cases,501
2020-04-04,Medina,Active cases,214
2020-04-04,Najran,Active cases,1
2020-04-04,Northern Borders,Active cases,0
2020-04-04,Qassim,Active cases,19
2020-04-04,Riyadh,Active cases,619
2020-04-04,Tabuk,Active cases,32
2020-04-05,Al Bahah,Active cases,10
2020-04-05,Al Jouf,Active cases,0
2020-04-05,Asir,Active cases,33
2020-04-05,Eastern Region,Active cases,378
2020-04-05,Hail,Active cases,0
2020-04-05,Jazan,Active cases,-2
2020-04-05,Mecca,Active cases,594
2020-04-05,Medina,Active cases,219
2020-04-05,Najran,Active cases,1
2020-04-05,Northern Borders,Active cases,0
2020-04-05,Qassim,Active cases,19
2020-04-05,Riyadh,Active cases,594
2020-04-05,Tabuk,Active cases,34
2020-04-06,Al Bahah,Active cases,10
2020-04-06,Al Jouf,Active cases,0
2020-04-06,Asir,Active cases,44
2020-04-06,Eastern Region,Active cases,394
2020-04-06,Hail,Active cases,0
2020-04-06,Jazan,Active cases,5
2020-04-06,Mecca,Active cases,666
2020-04-06,Medina,Active cases,231
2020-04-06,Najran,Active cases,7
2020-04-06,Northern Borders,Active cases,0
2020-04-06,Qassim,Active cases,19
2020-04-06,Riyadh,Active cases,605
2020-04-06,Tabuk,Active cases,35
2020-04-07,Al Bahah,Active cases,10
2020-04-07,Al Jouf,Active cases,0
2020-04-07,Asir,Active cases,49
2020-04-07,Eastern Region,Active cases,407
2020-04-07,Hail,Active cases,0
2020-04-07,Jazan,Active cases,8
2020-04-07,Mecca,Active cases,761
2020-04-07,Medina,Active cases,312
2020-04-07,Najran,Active cases,12
2020-04-07,Northern Borders,Active cases,0
2020-04-07,Qassim,Active cases,22
2020-04-07,Riyadh,Active cases,645
2020-04-07,Tabuk,Active cases,34
2020-04-08,Al Bahah,Active cases,11
2020-04-08,Al Jouf,Active cases,0
2020-04-08,Asir,Active cases,52
2020-04-08,Eastern Region,Active cases,415
2020-04-08,Hail,Active cases,0
2020-04-08,Jazan,Active cases,8
2020-04-08,Mecca,Active cases,887
2020-04-08,Medina,Active cases,405
2020-04-08,Najran,Active cases,13
2020-04-08,Northern Borders,Active cases,0
2020-04-08,Qassim,Active cases,25
2020-04-08,Riyadh,Active cases,701
2020-04-08,Tabuk,Active cases,60
2020-04-09,Al Bahah,Active cases,11
2020-04-09,Al Jouf,Active cases,0
2020-04-09,Asir,Active cases,52
2020-04-09,Eastern Region,Active cases,435
2020-04-09,Hail,Active cases,0
2020-04-09,Jazan,Active cases,8
2020-04-09,Mecca,Active cases,1033
2020-04-09,Medina,Active cases,485
2020-04-09,Najran,Active cases,13
2020-04-09,Northern Borders,Active cases,1
2020-04-09,Qassim,Active cases,34
2020-04-09,Riyadh,Active cases,765
2020-04-09,Tabuk,Active cases,82
2020-04-10,Al Bahah,Active cases,11
2020-04-10,Al Jouf,Active cases,0
2020-04-10,Asir,Active cases,55
2020-04-10,Eastern Region,Active cases,447
2020-04-10,Hail,Active cases,1
2020-04-10,Jazan,Active cases,8
2020-04-10,Mecca,Active cases,1200
2020-04-10,Medina,Active cases,584
2020-04-10,Najran,Active cases,13
2020-04-10,Northern Borders,Active cases,1
2020-04-10,Qassim,Active cases,34
2020-04-10,Riyadh,Active cases,825
2020-04-10,Tabuk,Active cases,82
2020-04-11,Al Bahah,Active cases,11
2020-04-11,Al Jouf,Active cases,0
2020-04-11,Asir,Active cases,60
2020-04-11,Eastern Region,Active cases,443
2020-04-11,Hail,Active cases,1
2020-04-11,Jazan,Active cases,14
2020-04-11,Mecca,Active cases,1314
2020-04-11,Medina,Active cases,662
2020-04-11,Najran,Active cases,13
2020-04-11,Northern Borders,Active cases,1
2020-04-11,Qassim,Active cases,34
2020-04-11,Riyadh,Active cases,1004
2020-04-11,Tabuk,Active cases,85
2020-04-12,Al Bahah,Active cases,11
2020-04-12,Al Jouf,Active cases,0
2020-04-12,Asir,Active cases,67
2020-04-12,Eastern Region,Active cases,430
2020-04-12,Hail,Active cases,1
2020-04-12,Jazan,Active cases,14
2020-04-12,Mecca,Active cases,1495
2020-04-12,Medina,Active cases,772
2020-04-12,Najran,Active cases,14
2020-04-12,Northern Borders,Active cases,9
2020-04-12,Qassim,Active cases,35
2020-04-12,Riyadh,Active cases,1110
2020-04-12,Tabuk,Active cases,106
2020-04-13,Al Bahah,Active cases,12
2020-04-13,Al Jouf,Active cases,0
2020-04-13,Asir,Active cases,69
2020-04-13,Eastern Region,Active cases,517
2020-04-13,Hail,Active cases,2
2020-04-13,Jazan,Active cases,15
2020-04-13,Mecca,Active cases,1640
2020-04-13,Medina,Active cases,811
2020-04-13,Najran,Active cases,14
2020-04-13,Northern Borders,Active cases,9
2020-04-13,Qassim,Active cases,44
2020-04-13,Riyadh,Active cases,1165
2020-04-13,Tabuk,Active cases,109
2020-04-14,Al Bahah,Active cases,20
2020-04-14,Al Jouf,Active cases,0
2020-04-14,Asir,Active cases,69
2020-04-14,Eastern Region,Active cases,700
2020-04-14,Hail,Active cases,2
2020-04-14,Jazan,Active cases,15
2020-04-14,Mecca,Active cases,1741
2020-04-14,Medina,Active cases,922
2020-04-14,Najran,Active cases,13
2020-04-14,Northern Borders,Active cases,14
2020-04-14,Qassim,Active cases,44
2020-04-14,Riyadh,Active cases,1203
2020-04-14,Tabuk,Active cases,109
2020-04-15,Al Bahah,Active cases,10
2020-04-15,Al Jouf,Active cases,0
2020-04-15,Asir,Active cases,72
2020-04-15,Eastern Region,Active cases,733
2020-04-15,Hail,Active cases,2
2020-04-15,Jazan,Active cases,20
2020-04-15,Mecca,Active cases,1986
2020-04-15,Medina,Active cases,1015
2020-04-15,Najran,Active cases,10
2020-04-15,Northern Borders,Active cases,14
2020-04-15,Qassim,Active cases,46
2020-04-15,Riyadh,Active cases,1288
2020-04-15,Tabuk,Active cases,111
2020-04-16,Al Bahah,Active cases,10
2020-04-16,Al Jouf,Active cases,0
2020-04-16,Asir,Active cases,75
2020-04-16,Eastern Region,Active cases,775
2020-04-16,Hail,Active cases,2
2020-04-16,Jazan,Active cases,21
2020-04-16,Mecca,Active cases,2445
2020-04-16,Medina,Active cases,1213
2020-04-16,Najran,Active cases,11
2020-04-16,Northern Borders,Active cases,14
2020-04-16,Qassim,Active cases,46
2020-04-16,Riyadh,Active cases,1284
2020-04-16,Tabuk,Active cases,110
2020-04-17,Al Bahah,Active cases,10
2020-04-17,Al Jouf,Active cases,0
2020-04-17,Asir,Active cases,56
2020-04-17,Eastern Region,Active cases,889
2020-04-17,Hail,Active cases,3
2020-04-17,Jazan,Active cases,21
2020-04-17,Mecca,Active cases,2781
2020-04-17,Medina,Active cases,1395
2020-04-17,Najran,Active cases,6
2020-04-17,Northern Borders,Active cases,14
2020-04-17,Qassim,Active cases,53
2020-04-17,Riyadh,Active cases,1502
2020-04-17,Tabuk,Active cases,123
2020-04-18,Al Bahah,Active cases,11
2020-04-18,Al Jouf,Active cases,0
2020-04-18,Asir,Active cases,55
2020-04-18,Eastern Region,Active cases,1181
2020-04-18,Hail,Active cases,7
2020-04-18,Jazan,Active cases,22
2020-04-18,Mecca,Active cases,3240
2020-04-18,Medina,Active cases,1579
2020-04-18,Najran,Active cases,6
2020-04-18,Northern Borders,Active cases,14
2020-04-18,Qassim,Active cases,56
2020-04-18,Riyadh,Active cases,1573
2020-04-18,Tabuk,Active cases,123
2020-04-19,Al Bahah,Active cases,11
2020-04-19,Al Jouf,Active cases,0
2020-04-19,Asir,Active cases,58
2020-04-19,Eastern Region,Active cases,1360
2020-04-19,Hail,Active cases,7
2020-04-19,Jazan,Active cases,22
2020-04-19,Mecca,Active cases,3829
2020-04-19,Medina,Active cases,1686
2020-04-19,Najran,Active cases,7
2020-04-19,Northern Borders,Active cases,14
2020-04-19,Qassim,Active cases,59
2020-04-19,Riyadh,Active cases,1716
2020-04-19,Tabuk,Active cases,122
2020-04-20,Al Bahah,Active cases,15
2020-04-20,Al Jouf,Active cases,1
2020-04-20,Asir,Active cases,60
2020-04-20,Eastern Region,Active cases,1463
2020-04-20,Hail,Active cases,7
2020-04-20,Jazan,Active cases,11
2020-04-20,Mecca,Active cases,4331
2020-04-20,Medina,Active cases,1982
2020-04-20,Najran,Active cases,7
2020-04-20,Northern Borders,Active cases,16
2020-04-20,Qassim,Active cases,63
2020-04-20,Riyadh,Active cases,1793
2020-04-20,Tabuk,Active cases,133
2020-04-21,Al Bahah,Active cases,14
2020-04-21,Al Jouf,Active cases,1
2020-04-21,Asir,Active cases,61
2020-04-21,Eastern Region,Active cases,1729
2020-04-21,Hail,Active cases,9
2020-04-21,Jazan,Active cases,15
2020-04-21,Mecca,Active cases,4720
2020-04-21,Medina,Active cases,2114
2020-04-21,Najran,Active cases,8
2020-04-21,Northern Borders,Active cases,15
2020-04-21,Qassim,Active cases,60
2020-04-21,Riyadh,Active cases,1930
2020-04-21,Tabuk,Active cases,170
2020-04-22,Al Bahah,Active cases,17
2020-04-22,Al Jouf,Active cases,1
2020-04-22,Asir,Active cases,58
2020-04-22,Eastern Region,Active cases,1866
2020-04-22,Hail,Active cases,18
2020-04-22,Jazan,Active cases,15
2020-04-22,Mecca,Active cases,5174
2020-04-22,Medina,Active cases,2412
2020-04-22,Najran,Active cases,7
2020-04-22,Northern Borders,Active cases,16
2020-04-22,Qassim,Active cases,83
2020-04-22,Riyadh,Active cases,2037
2020-04-22,Tabuk,Active cases,180
2020-04-23,Al Bahah,Active cases,18
2020-04-23,Al Jouf,Active cases,7
2020-04-23,Asir,Active cases,77
2020-04-23,Eastern Region,Active cases,2033
2020-04-23,Hail,Active cases,25
2020-04-23,Jazan,Active cases,35
2020-04-23,Mecca,Active cases,5596
2020-04-23,Medina,Active cases,2684
2020-04-23,Najran,Active cases,7
2020-04-23,Northern Borders,Active cases,19
2020-04-23,Qassim,Active cases,98
2020-04-23,Riyadh,Active cases,2139
2020-04-23,Tabuk,Active cases,188
2020-04-24,Al Bahah,Active cases,22
2020-04-24,Al Jouf,Active cases,6
2020-04-24,Asir,Active cases,79
2020-04-24,Eastern Region,Active cases,2135
2020-04-24,Hail,Active cases,23
2020-04-24,Jazan,Active cases,51
2020-04-24,Mecca,Active cases,6227
2020-04-24,Medina,Active cases,2777
2020-04-24,Najran,Active cases,5
2020-04-24,Northern Borders,Active cases,21
2020-04-24,Qassim,Active cases,128
2020-04-24,Riyadh,Active cases,2307
2020-04-24,Tabuk,Active cases,167
2020-04-25,Al Bahah,Active cases,22
2020-04-25,Al Jouf,Active cases,6
2020-04-25,Asir,Active cases,81
2020-04-25,Eastern Region,Active cases,2236
2020-04-25,Hail,Active cases,23
2020-04-25,Jazan,Active cases,189
2020-04-25,Mecca,Active cases,6551
2020-04-25,Medina,Active cases,2994
2020-04-25,Najran,Active cases,5
2020-04-25,Northern Borders,Active cases,22
2020-04-25,Qassim,Active cases,193
2020-04-25,Riyadh,Active cases,2532
