Date,region,Cases,Mortalities,Recoveries
2020-04-14,Qassim,0,0,0
2020-04-14,Riyadh,57,0,19
2020-04-14,Tabuk,0,0,0
2020-04-15,Al Bahah,0,0,10
2020-04-15,Al Jouf,0,0,0
2020-04-15,Asir,3,0,0
2020-04-15,Eastern Region,54,0,21
2020-04-15,Hail,0,0,0
2020-04-15,Jazan,5,0,0
2020-04-15,Mecca,272,3,24
2020-04-15,Medina,94,1,0
2020-04-15,Najran,0,0,3
2020-04-15,Northern Borders,0,0,0
2020-04-15,Qassim,2,0,0
2020-04-15,Riyadh,86,0,1
2020-04-15,Tabuk,2,0,0
2020-04-16,Al Bahah,0,0,0
2020-04-16,Al Jouf,0,0,0
2020-04-16,Asir,3,0,0
2020-04-16,Eastern Region,60,0,18
2020-04-16,Hail,0,0,0
2020-04-16,Jazan,1,0,0
2020-04-16,Mecca,475,3,13
2020-04-16,Medina,198,0,0
2020-04-16,Najran,1,0,0
2020-04-16,Northern Borders,0,0,0
2020-04-16,Qassim,0,0,0
2020-04-16,Riyadh,24,0,28
2020-04-16,Tabuk,0,1,0
2020-04-17,Al Bahah,0,0,0
2020-04-17,Al Jouf,0,0,0
2020-04-17,Asir,5,0,24
2020-04-17,Eastern Region,128,0,14
2020-04-17,Hail,1,0,0
2020-04-17,Jazan,1,1,0
2020-04-17,Mecca,566,4,226
2020-04-17,Medina,186,0,4
2020-04-17,Najran,0,0,5
2020-04-17,Northern Borders,0,0,0
2020-04-17,Qassim,7,0,0
2020-04-17,Riyadh,225,0,7
2020-04-17,Tabuk,13,0,0
2020-04-18,Al Bahah,1,0,0
2020-04-18,Al Jouf,0,0,0
2020-04-18,Asir,1,0,2
2020-04-18,Eastern Region,327,0,35
2020-04-18,Hail,4,0,0
2020-04-18,Jazan,1,0,0
2020-04-18,Mecca,470,5,6
2020-04-18,Medina,184,0,0
2020-04-18,Najran,0,0,0
2020-04-18,Northern Borders,0,0,0
2020-04-18,Qassim,3,0,0
2020-04-18,Riyadh,95,0,24
2020-04-18,Tabuk,2,0,2
2020-04-19,Al Bahah,0,0,0
2020-04-19,Al Jouf,0,0,0
2020-04-19,Asir,4,0,1
2020-04-19,Eastern Region,185,0,6
2020-04-19,Hail,0,0,0
2020-04-19,Jazan,0,0,0
2020-04-19,Mecca,604,6,9
2020-04-19,Medina,121,0,14
2020-04-19,Najran,3,0,2
2020-04-19,Northern Borders,0,0,0
2020-04-19,Qassim,3,0,0
2020-04-19,Riyadh,202,0,59
2020-04-19,Tabuk,0,0,1
2020-04-20,Al Bahah,4,0,0
2020-04-20,Al Jouf,1,0,0
2020-04-20,Asir,2,0,0
2020-04-20,Eastern Region,157,0,54
2020-04-20,Hail,0,0,0
2020-04-20,Jazan,0,0,11
2020-04-20,Mecca,515,4,9
2020-04-20,Medina,299,0,3
2020-04-20,Najran,0,0,0
2020-04-20,Northern Borders,2,0,0
2020-04-20,Qassim,8,0,4
2020-04-20,Riyadh,148,2,69
2020-04-20,Tabuk,11,0,0
2020-04-21,Al Bahah,0,0,1
2020-04-21,Al Jouf,0,0,0
2020-04-21,Asir,18,0,17
2020-04-21,Eastern Region,328,0,62
2020-04-21,Hail,2,0,0
2020-04-21,Jazan,4,0,0
2020-04-21,Mecca,444,5,50
2020-04-21,Medina,138,0,6
2020-04-21,Najran,1,0,0
2020-04-21,Northern Borders,0,0,1
2020-04-21,Qassim,2,0,5
2020-04-21,Riyadh,167,0,30
2020-04-21,Tabuk,37,0,0
2020-04-22,Al Bahah,3,0,0
2020-04-22,Al Jouf,0,0,0
2020-04-22,Asir,1,0,4
2020-04-22,Eastern Region,192,0,55
2020-04-22,Hail,9,0,0
2020-04-22,Jazan,0,0,0
2020-04-22,Mecca,461,7,0
2020-04-22,Medina,298,0,0
2020-04-22,Najran,1,0,2
2020-04-22,Northern Borders,1,0,0
2020-04-22,Qassim,24,0,1
2020-04-22,Riyadh,158,0,51
2020-04-22,Tabuk,10,0,0
2020-04-23,Al Bahah,1,0,0
2020-04-23,Al Jouf,6,0,0
2020-04-23,Asir,21,0,2
2020-04-23,Eastern Region,177,0,10
2020-04-23,Hail,7,0,0
2020-04-23,Jazan,20,0,0
2020-04-23,Mecca,495,6,67
2020-04-23,Medina,278,0,6
2020-04-23,Najran,0,0,0
2020-04-23,Northern Borders,3,0,0
2020-04-23,Qassim,15,0,0
2020-04-23,Riyadh,141,0,39
2020-04-23,Tabuk,8,0,0
2020-04-24,Al Bahah,8,0,4
2020-04-24,Al Jouf,0,0,1
2020-04-24,Asir,3,0,1
2020-04-24,Eastern Region,148,0,46
2020-04-24,Hail,0,0,2
2020-04-24,Jazan,20,0,4
2020-04-24,Mecca,665,9,25
2020-04-24,Medina,133,0,40
2020-04-24,Najran,0,0,2
2020-04-24,Northern Borders,5,0,3
2020-04-24,Qassim,30,0,0
2020-04-24,Riyadh,183,0,15
2020-04-24,Tabuk,2,0,23
2020-04-25,Al Bahah,0,0,0
2020-04-25,Al Jouf,0,0,0
2020-04-25,Asir,2,0,0
2020-04-25,Eastern Region,109,1,7
2020-04-25,Hail,0,0,0
2020-04-25,Jazan,138,0,0
2020-04-25,Mecca,402,2,76
2020-04-25,Medina,217,0,0
2020-04-25,Najran,0,0,0
2020-04-25,Northern Borders,1,0,0
2020-04-25,Qassim,74,0,9
2020-04-25,Riyadh,275,0,50
2020-04-25,Tabuk,5,0,0
2020-04-26,Al Bahah,5,0,0
2020-04-26,Al Jouf,2,0,0
2020-04-26,Asir,2,0,7
2020-04-26,Eastern Region,227,0,54
2020-04-26,Hail,3,0,0
2020-04-26,Jazan,128,0,0
2020-04-26,Mecca,517,5,54
2020-04-26,Medina,203,0,50
2020-04-26,Najran,0,0,0
2020-04-26,Northern Borders,0,0,0
2020-04-26,Qassim,4,0,2
2020-04-26,Riyadh,194,0,7
