Date,City,Cases,Mortalities,Recoveries
2020-03-13,Samodah,0,0,0
2020-03-13,Urayarah,0,0,0
2020-03-14,AL Oyoun,0,0,0
2020-03-14,Adh Dhibiyyah,0,0,0
2020-03-14,Al Batahaa,0,0,0
2020-03-14,Al Jafr,0,0,0
2020-03-14,Al Mubarraz,0,0,0
2020-03-14,Al Qaysomah,0,0,0
2020-03-14,Al Suyariah,0,0,0
2020-03-14,Ar Ruqi,0,0,0
2020-03-14,As Sufairy,0,0,0
2020-03-14,Bqeeq,0,0,0
2020-03-14,Dahran,0,0,0
2020-03-14,Dammam,0,0,0
2020-03-14,Hafr Al Batin,0,0,0
2020-03-14,Hardh,0,0,0
2020-03-14,Hufof,1,0,0
2020-03-14,Jubail,0,0,0
2020-03-14,Khafji,0,0,0
2020-03-14,Khobar,0,0,0
2020-03-14,Mulayjah,0,0,0
2020-03-14,Nairyah,0,0,0
2020-03-14,Qaryat Al Ulya,0,0,0
2020-03-14,Qatif,3,0,1
2020-03-14,Ras Tanura,0,0,0
2020-03-14,Safwa,0,0,0
2020-03-14,Saihat,0,0,0
2020-03-14,Salwa,0,0,0
2020-03-14,Samodah,0,0,0
2020-03-14,Urayarah,0,0,0
2020-03-15,AL Oyoun,0,0,0
2020-03-15,Adh Dhibiyyah,0,0,0
2020-03-15,Al Batahaa,0,0,0
2020-03-15,Al Jafr,0,0,0
2020-03-15,Al Mubarraz,0,0,0
2020-03-15,Al Qaysomah,0,0,0
2020-03-15,Al Suyariah,0,0,0
2020-03-15,Ar Ruqi,0,0,0
2020-03-15,As Sufairy,0,0,0
2020-03-15,Bqeeq,0,0,0
2020-03-15,Dahran,3,0,0
2020-03-15,Dammam,1,0,1
2020-03-15,Hafr Al Batin,0,0,0
2020-03-15,Hardh,0,0,0
2020-03-15,Hufof,0,0,0
2020-03-15,Jubail,0,0,0
2020-03-15,Khafji,0,0,0
2020-03-15,Khobar,0,0,0
2020-03-15,Mulayjah,0,0,0
2020-03-15,Nairyah,0,0,0
2020-03-15,Qaryat Al Ulya,0,0,0
2020-03-15,Qatif,7,0,0
2020-03-15,Ras Tanura,0,0,0
2020-03-15,Safwa,0,0,0
2020-03-15,Saihat,0,0,0
2020-03-15,Salwa,0,0,0
2020-03-15,Samodah,0,0,0
2020-03-15,Urayarah,0,0,0
2020-03-16,AL Oyoun,0,0,0
2020-03-16,Adh Dhibiyyah,0,0,0
2020-03-16,Al Batahaa,0,0,0
2020-03-16,Al Jafr,0,0,0
2020-03-16,Al Mubarraz,0,0,0
2020-03-16,Al Qaysomah,0,0,0
2020-03-16,Al Suyariah,0,0,0
2020-03-16,Ar Ruqi,0,0,0
2020-03-16,As Sufairy,0,0,0
2020-03-16,Bqeeq,0,0,0
2020-03-16,Dahran,1,0,0
2020-03-16,Dammam,0,0,0
2020-03-16,Hafr Al Batin,0,0,0
2020-03-16,Hardh,0,0,0
2020-03-16,Hufof,0,0,0
2020-03-16,Jubail,0,0,0
2020-03-16,Khafji,0,0,0
2020-03-16,Khobar,0,0,0
2020-03-16,Mulayjah,0,0,0
2020-03-16,Nairyah,0,0,0
2020-03-16,Qaryat Al Ulya,0,0,0
2020-03-16,Qatif,1,0,3
2020-03-16,Ras Tanura,0,0,0
2020-03-16,Safwa,0,0,0
2020-03-16,Saihat,0,0,0
2020-03-16,Salwa,0,0,0
2020-03-16,Samodah,0,0,0
2020-03-16,Urayarah,0,0,0
2020-03-17,AL Oyoun,0,0,0
2020-03-17,Adh Dhibiyyah,0,0,0
2020-03-17,Al Batahaa,0,0,0
2020-03-17,Al Jafr,0,0,0
2020-03-17,Al Mubarraz,0,0,0
2020-03-17,Al Qaysomah,0,0,0
2020-03-17,Al Suyariah,0,0,0
2020-03-17,Ar Ruqi,0,0,0
2020-03-17,As Sufairy,0,0,0
2020-03-17,Bqeeq,0,0,0
2020-03-17,Dahran,3,0,0
2020-03-17,Dammam,0,0,0
2020-03-17,Hafr Al Batin,0,0,0
2020-03-17,Hardh,0,0,0
2020-03-17,Hufof,0,0,0
2020-03-17,Jubail,0,0,0
2020-03-17,Khafji,0,0,0
2020-03-17,Khobar,0,0,0
2020-03-17,Mulayjah,0,0,0
2020-03-17,Nairyah,0,0,0
2020-03-17,Qaryat Al Ulya,0,0,0
2020-03-17,Qatif,10,0,0
2020-03-17,Ras Tanura,0,0,0
2020-03-17,Safwa,0,0,0
2020-03-17,Saihat,0,0,0
2020-03-17,Salwa,0,0,0
2020-03-17,Samodah,0,0,0
2020-03-17,Urayarah,0,0,0
2020-03-18,AL Oyoun,0,0,0
2020-03-18,Adh Dhibiyyah,0,0,0
2020-03-18,Al Batahaa,0,0,0
2020-03-18,Al Jafr,0,0,0
2020-03-18,Al Mubarraz,0,0,0
2020-03-18,Al Qaysomah,0,0,0
2020-03-18,Al Suyariah,0,0,0
2020-03-18,Ar Ruqi,0,0,0
2020-03-18,As Sufairy,0,0,0
2020-03-18,Bqeeq,0,0,0
2020-03-18,Dahran,0,0,0
2020-03-18,Dammam,23,0,2
2020-03-18,Hafr Al Batin,0,0,0
2020-03-18,Hardh,0,0,0
2020-03-18,Hufof,0,0,0
2020-03-18,Jubail,0,0,0
2020-03-18,Khafji,0,0,0
2020-03-18,Khobar,0,0,0
2020-03-18,Mulayjah,0,0,0
2020-03-18,Nairyah,0,0,0
2020-03-18,Qaryat Al Ulya,0,0,0
2020-03-18,Qatif,0,0,0
2020-03-18,Ras Tanura,0,0,0
2020-03-18,Safwa,0,0,0
2020-03-18,Saihat,0,0,0
2020-03-18,Salwa,0,0,0
2020-03-18,Samodah,0,0,0
2020-03-18,Urayarah,0,0,0
2020-03-19,AL Oyoun,0,0,0
2020-03-19,Adh Dhibiyyah,0,0,0
2020-03-19,Al Batahaa,0,0,0
2020-03-19,Al Jafr,0,0,0
2020-03-19,Al Mubarraz,0,0,0
2020-03-19,Al Qaysomah,0,0,0
2020-03-19,Al Suyariah,0,0,0
2020-03-19,Ar Ruqi,0,0,0
2020-03-19,As Sufairy,0,0,0
2020-03-19,Bqeeq,0,0,0
2020-03-19,Dahran,1,0,0
2020-03-19,Dammam,3,0,0
2020-03-19,Hafr Al Batin,0,0,0
2020-03-19,Hardh,0,0,0
2020-03-19,Hufof,2,0,0
2020-03-19,Jubail,0,0,0
2020-03-19,Khafji,0,0,0
2020-03-19,Khobar,0,0,0
2020-03-19,Mulayjah,0,0,0
2020-03-19,Nairyah,0,0,0
2020-03-19,Qaryat Al Ulya,0,0,0
2020-03-19,Qatif,4,0,0
2020-03-19,Ras Tanura,0,0,0
2020-03-19,Safwa,0,0,0
2020-03-19,Saihat,0,0,0
2020-03-19,Salwa,0,0,0
