Date,region,Case,Count
2020-04-04,Jazan,Cases,1
2020-04-04,Mecca,Cases,57
2020-04-04,Medina,Cases,2
2020-04-04,Najran,Cases,0
2020-04-04,Northern Borders,Cases,0
2020-04-04,Qassim,Cases,1
2020-04-04,Riyadh,Cases,82
2020-04-04,Tabuk,Cases,5
2020-04-05,Al Bahah,Cases,1
2020-04-05,Al Jouf,Cases,0
2020-04-05,Asir,Cases,8
2020-04-05,Eastern Region,Cases,29
2020-04-05,Hail,Cases,0
2020-04-05,Jazan,Cases,0
2020-04-05,Mecca,Cases,98
2020-04-05,Medina,Cases,6
2020-04-05,Najran,Cases,0
2020-04-05,Northern Borders,Cases,0
2020-04-05,Qassim,Cases,0
2020-04-05,Riyadh,Cases,37
2020-04-05,Tabuk,Cases,2
2020-04-06,Al Bahah,Cases,0
2020-04-06,Al Jouf,Cases,0
2020-04-06,Asir,Cases,14
2020-04-06,Eastern Region,Cases,21
2020-04-06,Hail,Cases,0
2020-04-06,Jazan,Cases,7
2020-04-06,Mecca,Cases,74
2020-04-06,Medina,Cases,12
2020-04-06,Najran,Cases,7
2020-04-06,Northern Borders,Cases,0
2020-04-06,Qassim,Cases,2
2020-04-06,Riyadh,Cases,65
2020-04-06,Tabuk,Cases,1
2020-04-07,Al Bahah,Cases,0
2020-04-07,Al Jouf,Cases,0
2020-04-07,Asir,Cases,5
2020-04-07,Eastern Region,Cases,31
2020-04-07,Hail,Cases,0
2020-04-07,Jazan,Cases,3
2020-04-07,Mecca,Cases,99
2020-04-07,Medina,Cases,81
2020-04-07,Najran,Cases,5
2020-04-07,Northern Borders,Cases,0
2020-04-07,Qassim,Cases,3
2020-04-07,Riyadh,Cases,97
2020-04-07,Tabuk,Cases,3
2020-04-08,Al Bahah,Cases,1
2020-04-08,Al Jouf,Cases,0
2020-04-08,Asir,Cases,3
2020-04-08,Eastern Region,Cases,12
2020-04-08,Hail,Cases,0
2020-04-08,Jazan,Cases,0
2020-04-08,Mecca,Cases,127
2020-04-08,Medina,Cases,93
2020-04-08,Najran,Cases,1
2020-04-08,Northern Borders,Cases,0
2020-04-08,Qassim,Cases,3
2020-04-08,Riyadh,Cases,89
2020-04-08,Tabuk,Cases,26
2020-04-09,Al Bahah,Cases,0
2020-04-09,Al Jouf,Cases,0
2020-04-09,Asir,Cases,0
2020-04-09,Eastern Region,Cases,27
2020-04-09,Hail,Cases,0
2020-04-09,Jazan,Cases,0
2020-04-09,Mecca,Cases,151
2020-04-09,Medina,Cases,80
2020-04-09,Najran,Cases,0
2020-04-09,Northern Borders,Cases,1
2020-04-09,Qassim,Cases,10
2020-04-09,Riyadh,Cases,73
2020-04-09,Tabuk,Cases,22
2020-04-10,Al Bahah,Cases,0
2020-04-10,Al Jouf,Cases,0
2020-04-10,Asir,Cases,3
2020-04-10,Eastern Region,Cases,19
2020-04-10,Hail,Cases,1
2020-04-10,Jazan,Cases,0
2020-04-10,Mecca,Cases,183
2020-04-10,Medina,Cases,100
2020-04-10,Najran,Cases,0
2020-04-10,Northern Borders,Cases,0
2020-04-10,Qassim,Cases,0
2020-04-10,Riyadh,Cases,76
2020-04-10,Tabuk,Cases,0
2020-04-11,Al Bahah,Cases,0
2020-04-11,Al Jouf,Cases,0
2020-04-11,Asir,Cases,5
2020-04-11,Eastern Region,Cases,13
2020-04-11,Hail,Cases,0
2020-04-11,Jazan,Cases,6
2020-04-11,Mecca,Cases,124
2020-04-11,Medina,Cases,80
2020-04-11,Najran,Cases,0
2020-04-11,Northern Borders,Cases,0
2020-04-11,Qassim,Cases,0
2020-04-11,Riyadh,Cases,198
2020-04-11,Tabuk,Cases,3
2020-04-12,Al Bahah,Cases,0
2020-04-12,Al Jouf,Cases,0
2020-04-12,Asir,Cases,7
2020-04-12,Eastern Region,Cases,8
2020-04-12,Hail,Cases,0
2020-04-12,Jazan,Cases,0
2020-04-12,Mecca,Cases,192
2020-04-12,Medina,Cases,113
2020-04-12,Najran,Cases,1
2020-04-12,Northern Borders,Cases,8
2020-04-12,Qassim,Cases,2
2020-04-12,Riyadh,Cases,119
2020-04-12,Tabuk,Cases,22
2020-04-13,Al Bahah,Cases,1
2020-04-13,Al Jouf,Cases,0
2020-04-13,Asir,Cases,2
2020-04-13,Eastern Region,Cases,93
2020-04-13,Hail,Cases,1
2020-04-13,Jazan,Cases,1
2020-04-13,Mecca,Cases,158
2020-04-13,Medina,Cases,50
2020-04-13,Najran,Cases,0
2020-04-13,Northern Borders,Cases,0
2020-04-13,Qassim,Cases,10
2020-04-13,Riyadh,Cases,115
2020-04-13,Tabuk,Cases,4
2020-04-14,Al Bahah,Cases,8
2020-04-14,Al Jouf,Cases,0
2020-04-14,Asir,Cases,0
2020-04-14,Eastern Region,Cases,184
2020-04-14,Hail,Cases,0
2020-04-14,Jazan,Cases,0
