Date,Active cases,Cases,Mortalities,Recoveries,CFR Percent,Recovary Percent
2020-05-21,5320,12996,21,7655,0.1615881809787627,58.90273930440135
2020-05-22,5024,13265,22,8219,0.16584998115341124,61.96004523181304
2020-05-23,4782,13652,22,8848,0.16114854966305303,64.81101670084969
2020-05-24,4728,14012,22,9262,0.15700827861832714,66.10048529831573
2020-05-25,4650,14436,23,9763,0.15932391244111943,67.62953726794126
2020-05-26,4435,14790,23,10332,0.1555104800540906,69.8580121703854
2020-05-27,4132,15132,25,10975,0.16521279407877346,72.52841660058155
2020-05-28,4076,15515,27,11412,0.17402513696422817,73.55462455688044
2020-05-29,4245,15866,28,11593,0.17647800327744864,73.06819614269507
2020-05-30,4300,16203,31,11872,0.1913225945812504,73.2703820280195
2020-05-31,4684,16670,33,11953,0.19796040791841632,71.70365926814637
2020-06-01,5021,17074,34,12019,0.19913318495958768,70.39358088321424
2020-06-02,4991,17424,34,12399,0.19513314967860423,71.16046831955923
2020-06-03,5162,17741,36,12543,0.20291979031621668,70.70063694267516
2020-06-04,5716,18356,38,12602,0.2070167792547396,68.65330137284812
2020-06-05,6062,19051,44,12945,0.23095900477665215,67.94918901894914
2020-06-06,6671,19861,46,13144,0.2316096873269221,66.17995065706661
2020-06-07,7097,21031,47,13887,0.22347962531501117,66.0310969521183
2020-06-08,7341,21826,55,14430,0.251993035828828,66.11380921836341
2020-06-09,7734,22717,59,14924,0.2597173922613021,65.6952942730114
2020-06-10,7885,23545,64,15596,0.27181991930346144,66.23911658526227
2020-06-11,8720,24436,65,15651,0.2660009821574726,64.04894418071697
2020-06-12,9027,25253,69,16157,0.27323486318457213,63.980517166277274
2020-06-13,9594,26123,74,16455,0.2832752746621751,62.99046816981204
2020-06-14,10513,27159,80,16566,0.29456165543650353,60.99635479951397
2020-06-15,11323,28054,87,16644,0.3101162044628217,59.328438012404646
2020-06-16,11544,28974,91,17339,0.31407468765099744,59.8433077931939
2020-06-17,11912,30157,101,18144,0.334913950326624,60.16513578936897
2020-06-18,12717,31521,109,18695,0.3458012118904857,59.30966657149202
2020-06-19,13390,32657,111,19156,0.33989649998468935,58.6581743577181
2020-06-20,13889,33511,112,19510,0.3342186147832055,58.21968905732446
2020-06-21,14741,34664,118,19805,0.34041080083083314,57.134202630971615
2020-06-22,14263,35706,125,21318,0.35008121884277155,59.70425138632163
2020-06-23,14822,36881,129,21930,0.3497735961606247,59.4615113473062
2020-06-24,16380,38500,131,21989,0.34025974025974026,57.114285714285714
2020-06-25,17991,40233,140,22102,0.34797305694330527,54.93500360400666
2020-06-26,19182,41730,145,22403,0.3474718427989456,53.68559789120537
2020-06-27,19938,43303,146,23219,0.33715908828487634,53.61984158141468
2020-06-28,20697,45031,147,24187,0.3264417845484222,53.711887366480866
2020-06-29,21169,47072,151,25752,0.32078518014955815,54.707681849082256
2020-06-30,21448,48277,157,26672,0.3252066201296684,55.24784058661474
2020-07-01,20999,49267,165,28103,0.33490977733574195,57.042239227068826
2020-07-02,21788,51049,175,29086,0.3428078904581872,56.976630296381906
2020-07-03,22487,52538,180,29871,0.34260915908485284,56.85598995013133
2020-07-04,22674,53266,187,30405,0.3510682236323358,57.08144031840198
2020-07-05,23311,54811,192,31308,0.350294648884348,57.119921183704
2020-07-06,21947,55590,195,33448,0.3507825148407987,60.16909516100018
2020-07-07,21349,56340,197,34794,0.3496627618033369,61.757188498402556
2020-07-08,21258,57317,198,35861,0.345447249507127,62.56607987159133
2020-07-09,21578,58329,207,36544,0.35488350563184695,62.65151125512181
2020-07-10,21853,59324,211,37260,0.35567392623558763,62.80763266131751
2020-07-11,22160,60171,216,37795,0.3589769157899985,62.812650612421265
2020-07-12,21967,61060,222,38871,0.3635768096953816,63.66033409760891
2020-07-13,20111,61925,224,41590,0.3617278966491724,67.16188938231731
2020-07-14,19056,62762,228,43478,0.36327714221981455,69.2744017080399
2020-07-15,18149,63587,231,45207,0.36328180288423734,71.09472061899444
2020-07-16,18108,64359,235,46016,0.36513929675725226,71.49893565779456
2020-07-17,17536,65013,241,47236,0.3706950917508806,72.6562379831726
2020-07-18,16568,65645,245,48832,0.3732195902201234,74.38799603930231
2020-07-19,15682,66292,249,50361,0.37561093344596636,75.96844264767996
2020-07-20,14854,66876,255,51767,0.3813027094921945,77.4074406364017
