Date,City,Active cases,Cases,Mortalities,Recoveries,CFR Percent,Recovary Percent
2020-03-08,Al Suyariah,0,0,0,0,0.0,0.0
2020-03-08,Ar Ruqi,0,0,0,0,0.0,0.0
2020-03-08,As Sufairy,0,0,0,0,0.0,0.0
2020-03-08,Bqeeq,0,0,0,0,0.0,0.0
2020-03-08,Dahran,0,0,0,0,0.0,0.0
2020-03-08,Dammam,0,0,0,0,0.0,0.0
2020-03-08,Hafr Al Batin,0,0,0,0,0.0,0.0
2020-03-08,Hardh,0,0,0,0,0.0,0.0
2020-03-08,Hufof,0,0,0,0,0.0,0.0
2020-03-08,Jubail,0,0,0,0,0.0,0.0
2020-03-08,Khafji,0,0,0,0,0.0,0.0
2020-03-08,Khobar,0,0,0,0,0.0,0.0
2020-03-08,Mulayjah,0,0,0,0,0.0,0.0
2020-03-08,Nairyah,0,0,0,0,0.0,0.0
2020-03-08,Qaryat Al Ulya,0,0,0,0,0.0,0.0
2020-03-08,Qatif,11,11,0,0,0.0,0.0
2020-03-08,Ras Tanura,0,0,0,0,0.0,0.0
2020-03-08,Safwa,0,0,0,0,0.0,0.0
2020-03-08,Saihat,0,0,0,0,0.0,0.0
2020-03-08,Salwa,0,0,0,0,0.0,0.0
2020-03-08,Samodah,0,0,0,0,0.0,0.0
2020-03-08,Urayarah,0,0,0,0,0.0,0.0
2020-03-09,AL Oyoun,0,0,0,0,0.0,0.0
2020-03-09,Adh Dhibiyyah,0,0,0,0,0.0,0.0
2020-03-09,Al Batahaa,0,0,0,0,0.0,0.0
2020-03-09,Al Jafr,0,0,0,0,0.0,0.0
2020-03-09,Al Mubarraz,0,0,0,0,0.0,0.0
2020-03-09,Al Qaysomah,0,0,0,0,0.0,0.0
2020-03-09,Al Suyariah,0,0,0,0,0.0,0.0
2020-03-09,Ar Ruqi,0,0,0,0,0.0,0.0
2020-03-09,As Sufairy,0,0,0,0,0.0,0.0
2020-03-09,Bqeeq,0,0,0,0,0.0,0.0
2020-03-09,Dahran,0,0,0,0,0.0,0.0
2020-03-09,Dammam,0,0,0,0,0.0,0.0
2020-03-09,Hafr Al Batin,0,0,0,0,0.0,0.0
2020-03-09,Hardh,0,0,0,0,0.0,0.0
2020-03-09,Hufof,0,0,0,0,0.0,0.0
2020-03-09,Jubail,0,0,0,0,0.0,0.0
2020-03-09,Khafji,0,0,0,0,0.0,0.0
2020-03-09,Khobar,0,0,0,0,0.0,0.0
2020-03-09,Mulayjah,0,0,0,0,0.0,0.0
2020-03-09,Nairyah,0,0,0,0,0.0,0.0
2020-03-09,Qaryat Al Ulya,0,0,0,0,0.0,0.0
2020-03-09,Qatif,14,14,0,0,0.0,0.0
2020-03-09,Ras Tanura,0,0,0,0,0.0,0.0
2020-03-09,Safwa,0,0,0,0,0.0,0.0
2020-03-09,Saihat,0,0,0,0,0.0,0.0
2020-03-09,Salwa,0,0,0,0,0.0,0.0
2020-03-09,Samodah,0,0,0,0,0.0,0.0
2020-03-09,Urayarah,0,0,0,0,0.0,0.0
2020-03-10,AL Oyoun,0,0,0,0,0.0,0.0
2020-03-10,Adh Dhibiyyah,0,0,0,0,0.0,0.0
2020-03-10,Al Batahaa,0,0,0,0,0.0,0.0
2020-03-10,Al Jafr,0,0,0,0,0.0,0.0
2020-03-10,Al Mubarraz,0,0,0,0,0.0,0.0
2020-03-10,Al Qaysomah,0,0,0,0,0.0,0.0
2020-03-10,Al Suyariah,0,0,0,0,0.0,0.0
2020-03-10,Ar Ruqi,0,0,0,0,0.0,0.0
2020-03-10,As Sufairy,0,0,0,0,0.0,0.0
2020-03-10,Bqeeq,0,0,0,0,0.0,0.0
2020-03-10,Dahran,0,0,0,0,0.0,0.0
2020-03-10,Dammam,4,4,0,0,0.0,0.0
2020-03-10,Hafr Al Batin,0,0,0,0,0.0,0.0
2020-03-10,Hardh,0,0,0,0,0.0,0.0
2020-03-10,Hufof,0,0,0,0,0.0,0.0
2020-03-10,Jubail,0,0,0,0,0.0,0.0
2020-03-10,Khafji,0,0,0,0,0.0,0.0
2020-03-10,Khobar,0,0,0,0,0.0,0.0
2020-03-10,Mulayjah,0,0,0,0,0.0,0.0
2020-03-10,Nairyah,0,0,0,0,0.0,0.0
2020-03-10,Qaryat Al Ulya,0,0,0,0,0.0,0.0
2020-03-10,Qatif,14,14,0,0,0.0,0.0
2020-03-10,Ras Tanura,0,0,0,0,0.0,0.0
2020-03-10,Safwa,0,0,0,0,0.0,0.0
2020-03-10,Saihat,0,0,0,0,0.0,0.0
2020-03-10,Salwa,0,0,0,0,0.0,0.0
2020-03-10,Samodah,0,0,0,0,0.0,0.0
2020-03-10,Urayarah,0,0,0,0,0.0,0.0
2020-03-11,AL Oyoun,0,0,0,0,0.0,0.0
2020-03-11,Adh Dhibiyyah,0,0,0,0,0.0,0.0
2020-03-11,Al Batahaa,0,0,0,0,0.0,0.0
2020-03-11,Al Jafr,0,0,0,0,0.0,0.0
2020-03-11,Al Mubarraz,0,0,0,0,0.0,0.0
2020-03-11,Al Qaysomah,0,0,0,0,0.0,0.0
2020-03-11,Al Suyariah,0,0,0,0,0.0,0.0
