Date,region,Active cases,Cases,Mortalities,Recoveries,CFR Percent,Recovary Percent
2020-03-19,Riyadh,81,81,0,0,0.0,0.0
2020-03-19,Tabuk,0,0,0,0,0.0,0.0
2020-03-20,Al Bahah,1,1,0,0,0.0,0.0
2020-03-20,Al Jouf,0,0,0,0,0.0,0.0
2020-03-20,Asir,3,3,0,0,0.0,0.0
2020-03-20,Eastern Region,91,99,0,8,0.0,8.080808080808081
2020-03-20,Hail,0,0,0,0,0.0,0.0
2020-03-20,Jazan,2,2,0,0,0.0,0.0
2020-03-20,Mecca,107,107,0,0,0.0,0.0
2020-03-20,Medina,1,1,0,0,0.0,0.0
2020-03-20,Najran,0,0,0,0,0.0,0.0
2020-03-20,Northern Borders,0,0,0,0,0.0,0.0
2020-03-20,Qassim,0,0,0,0,0.0,0.0
2020-03-20,Riyadh,130,130,0,0,0.0,0.0
2020-03-20,Tabuk,1,1,0,0,0.0,0.0
2020-03-21,Al Bahah,1,1,0,0,0.0,0.0
2020-03-21,Al Jouf,0,0,0,0,0.0,0.0
2020-03-21,Asir,3,3,0,0,0.0,0.0
2020-03-21,Eastern Region,94,104,0,10,0.0,9.615384615384615
2020-03-21,Hail,0,0,0,0,0.0,0.0
2020-03-21,Jazan,2,2,0,0,0.0,0.0
2020-03-21,Mecca,108,114,0,6,0.0,5.2631578947368425
2020-03-21,Medina,1,1,0,0,0.0,0.0
2020-03-21,Najran,0,0,0,0,0.0,0.0
2020-03-21,Northern Borders,0,0,0,0,0.0,0.0
2020-03-21,Qassim,0,0,0,0,0.0,0.0
2020-03-21,Riyadh,158,166,0,8,0.0,4.819277108433735
2020-03-21,Tabuk,1,1,0,0,0.0,0.0
2020-03-22,Al Bahah,1,1,0,0,0.0,0.0
2020-03-22,Al Jouf,0,0,0,0,0.0,0.0
2020-03-22,Asir,3,3,0,0,0.0,0.0
2020-03-22,Eastern Region,106,116,0,10,0.0,8.620689655172415
2020-03-22,Hail,0,0,0,0,0.0,0.0
2020-03-22,Jazan,2,2,0,0,0.0,0.0
2020-03-22,Mecca,180,186,0,6,0.0,3.225806451612903
2020-03-22,Medina,1,1,0,0,0.0,0.0
2020-03-22,Najran,0,0,0,0,0.0,0.0
2020-03-22,Northern Borders,0,0,0,0,0.0,0.0
2020-03-22,Qassim,1,1,0,0,0.0,0.0
2020-03-22,Riyadh,192,200,0,8,0.0,4.0
2020-03-22,Tabuk,1,1,0,0,0.0,0.0
2020-03-23,Al Bahah,1,1,0,0,0.0,0.0
2020-03-23,Al Jouf,0,0,0,0,0.0,0.0
2020-03-23,Asir,8,8,0,0,0.0,0.0
2020-03-23,Eastern Region,112,122,0,10,0.0,8.19672131147541
2020-03-23,Hail,0,0,0,0,0.0,0.0
2020-03-23,Jazan,4,4,0,0,0.0,0.0
2020-03-23,Mecca,199,205,0,6,0.0,2.926829268292683
2020-03-23,Medina,1,1,0,0,0.0,0.0
2020-03-23,Najran,1,1,0,0,0.0,0.0
2020-03-23,Northern Borders,0,0,0,0,0.0,0.0
2020-03-23,Qassim,1,1,0,0,0.0,0.0
2020-03-23,Riyadh,210,218,0,8,0.0,3.669724770642202
2020-03-23,Tabuk,1,1,0,0,0.0,0.0
2020-03-24,Al Bahah,13,13,0,0,0.0,0.0
2020-03-24,Al Jouf,0,0,0,0,0.0,0.0
2020-03-24,Asir,22,22,0,0,0.0,0.0
2020-03-24,Eastern Region,127,138,0,11,0.0,7.971014492753623
2020-03-24,Hail,0,0,0,0,0.0,0.0
2020-03-24,Jazan,7,7,0,0,0.0,0.0
2020-03-24,Mecca,278,287,0,9,0.0,3.1358885017421603
2020-03-24,Medina,1,2,1,0,50.0,0.0
2020-03-24,Najran,9,9,0,0,0.0,0.0
2020-03-24,Northern Borders,0,0,0,0,0.0,0.0
2020-03-24,Qassim,1,1,0,0,0.0,0.0
2020-03-24,Riyadh,279,287,0,8,0.0,2.7874564459930316
2020-03-24,Tabuk,1,1,0,0,0.0,0.0
2020-03-25,Al Bahah,13,13,0,0,0.0,0.0
2020-03-25,Al Jouf,0,0,0,0,0.0,0.0
2020-03-25,Asir,24,24,0,0,0.0,0.0
2020-03-25,Eastern Region,153,164,0,11,0.0,6.7073170731707314
