Date,City,Case,Count
2020-03-26,Al Qaysomah,Cases,0
2020-03-26,Al Suyariah,Cases,0
2020-03-26,Ar Ruqi,Cases,0
2020-03-26,As Sufairy,Cases,0
2020-03-26,Bqeeq,Cases,0
2020-03-26,Dahran,Cases,1
2020-03-26,Dammam,Cases,6
2020-03-26,Hafr Al Batin,Cases,0
2020-03-26,Hardh,Cases,0
2020-03-26,Hufof,Cases,2
2020-03-26,Jubail,Cases,0
2020-03-26,Khafji,Cases,1
2020-03-26,Khobar,Cases,2
2020-03-26,Mulayjah,Cases,0
2020-03-26,Nairyah,Cases,0
2020-03-26,Qaryat Al Ulya,Cases,0
2020-03-26,Qatif,Cases,5
2020-03-26,Ras Tanura,Cases,0
2020-03-26,Safwa,Cases,0
2020-03-26,Saihat,Cases,0
2020-03-26,Salwa,Cases,0
2020-03-26,Samodah,Cases,0
2020-03-26,Urayarah,Cases,0
2020-03-27,AL Oyoun,Cases,0
2020-03-27,Adh Dhibiyyah,Cases,0
2020-03-27,Al Batahaa,Cases,0
2020-03-27,Al Jafr,Cases,0
2020-03-27,Al Mubarraz,Cases,0
2020-03-27,Al Qaysomah,Cases,0
2020-03-27,Al Suyariah,Cases,0
2020-03-27,Ar Ruqi,Cases,0
2020-03-27,As Sufairy,Cases,0
2020-03-27,Bqeeq,Cases,0
2020-03-27,Dahran,Cases,2
2020-03-27,Dammam,Cases,4
2020-03-27,Hafr Al Batin,Cases,0
2020-03-27,Hardh,Cases,0
2020-03-27,Hufof,Cases,1
2020-03-27,Jubail,Cases,0
2020-03-27,Khafji,Cases,0
2020-03-27,Khobar,Cases,1
2020-03-27,Mulayjah,Cases,0
2020-03-27,Nairyah,Cases,0
2020-03-27,Qaryat Al Ulya,Cases,0
2020-03-27,Qatif,Cases,10
2020-03-27,Ras Tanura,Cases,0
2020-03-27,Safwa,Cases,0
2020-03-27,Saihat,Cases,0
2020-03-27,Salwa,Cases,0
2020-03-27,Samodah,Cases,0
2020-03-27,Urayarah,Cases,0
2020-03-28,AL Oyoun,Cases,0
2020-03-28,Adh Dhibiyyah,Cases,0
2020-03-28,Al Batahaa,Cases,0
2020-03-28,Al Jafr,Cases,0
2020-03-28,Al Mubarraz,Cases,0
2020-03-28,Al Qaysomah,Cases,0
2020-03-28,Al Suyariah,Cases,0
2020-03-28,Ar Ruqi,Cases,0
2020-03-28,As Sufairy,Cases,0
2020-03-28,Bqeeq,Cases,0
2020-03-28,Dahran,Cases,0
2020-03-28,Dammam,Cases,0
2020-03-28,Hafr Al Batin,Cases,0
2020-03-28,Hardh,Cases,0
2020-03-28,Hufof,Cases,1
2020-03-28,Jubail,Cases,0
2020-03-28,Khafji,Cases,0
2020-03-28,Khobar,Cases,1
2020-03-28,Mulayjah,Cases,0
2020-03-28,Nairyah,Cases,0
2020-03-28,Qaryat Al Ulya,Cases,0
2020-03-28,Qatif,Cases,12
2020-03-28,Ras Tanura,Cases,0
2020-03-28,Safwa,Cases,0
2020-03-28,Saihat,Cases,1
2020-03-28,Salwa,Cases,0
2020-03-28,Samodah,Cases,0
2020-03-28,Urayarah,Cases,0
2020-03-29,AL Oyoun,Cases,0
2020-03-29,Adh Dhibiyyah,Cases,0
2020-03-29,Al Batahaa,Cases,0
2020-03-29,Al Jafr,Cases,0
2020-03-29,Al Mubarraz,Cases,0
2020-03-29,Al Qaysomah,Cases,0
2020-03-29,Al Suyariah,Cases,0
2020-03-29,Ar Ruqi,Cases,0
2020-03-29,As Sufairy,Cases,0
2020-03-29,Bqeeq,Cases,0
2020-03-29,Dahran,Cases,2
2020-03-29,Dammam,Cases,23
2020-03-29,Hafr Al Batin,Cases,0
2020-03-29,Hardh,Cases,0
2020-03-29,Hufof,Cases,1
2020-03-29,Jubail,Cases,0
2020-03-29,Khafji,Cases,0
2020-03-29,Khobar,Cases,4
2020-03-29,Mulayjah,Cases,0
2020-03-29,Nairyah,Cases,0
2020-03-29,Qaryat Al Ulya,Cases,0
2020-03-29,Qatif,Cases,1
2020-03-29,Ras Tanura,Cases,1
2020-03-29,Safwa,Cases,0
2020-03-29,Saihat,Cases,1
2020-03-29,Salwa,Cases,0
2020-03-29,Samodah,Cases,0
2020-03-29,Urayarah,Cases,0
2020-03-30,AL Oyoun,Cases,0
