Date,City,Case,Count
2020-03-11,Samodah,Active cases,0
2020-03-11,Urayarah,Active cases,0
2020-03-12,AL Oyoun,Active cases,0
2020-03-12,Adh Dhibiyyah,Active cases,0
2020-03-12,Al Batahaa,Active cases,0
2020-03-12,Al Jafr,Active cases,0
2020-03-12,Al Mubarraz,Active cases,0
2020-03-12,Al Qaysomah,Active cases,0
2020-03-12,Al Suyariah,Active cases,0
2020-03-12,Ar Ruqi,Active cases,0
2020-03-12,As Sufairy,Active cases,0
2020-03-12,Bqeeq,Active cases,0
2020-03-12,Dahran,Active cases,0
2020-03-12,Dammam,Active cases,4
2020-03-12,Hafr Al Batin,Active cases,0
2020-03-12,Hardh,Active cases,0
2020-03-12,Hufof,Active cases,0
2020-03-12,Jubail,Active cases,0
2020-03-12,Khafji,Active cases,0
2020-03-12,Khobar,Active cases,0
2020-03-12,Mulayjah,Active cases,0
2020-03-12,Nairyah,Active cases,0
2020-03-12,Qaryat Al Ulya,Active cases,0
2020-03-12,Qatif,Active cases,16
2020-03-12,Ras Tanura,Active cases,0
2020-03-12,Safwa,Active cases,0
2020-03-12,Saihat,Active cases,0
2020-03-12,Salwa,Active cases,0
2020-03-12,Samodah,Active cases,0
2020-03-12,Urayarah,Active cases,0
2020-03-13,AL Oyoun,Active cases,0
2020-03-13,Adh Dhibiyyah,Active cases,0
2020-03-13,Al Batahaa,Active cases,0
2020-03-13,Al Jafr,Active cases,0
2020-03-13,Al Mubarraz,Active cases,0
2020-03-13,Al Qaysomah,Active cases,0
2020-03-13,Al Suyariah,Active cases,0
2020-03-13,Ar Ruqi,Active cases,0
2020-03-13,As Sufairy,Active cases,0
2020-03-13,Bqeeq,Active cases,0
2020-03-13,Dahran,Active cases,0
2020-03-13,Dammam,Active cases,11
2020-03-13,Hafr Al Batin,Active cases,0
2020-03-13,Hardh,Active cases,0
2020-03-13,Hufof,Active cases,1
2020-03-13,Jubail,Active cases,0
2020-03-13,Khafji,Active cases,0
2020-03-13,Khobar,Active cases,0
2020-03-13,Mulayjah,Active cases,0
2020-03-13,Nairyah,Active cases,0
2020-03-13,Qaryat Al Ulya,Active cases,0
2020-03-13,Qatif,Active cases,19
2020-03-13,Ras Tanura,Active cases,0
2020-03-13,Safwa,Active cases,0
2020-03-13,Saihat,Active cases,0
2020-03-13,Salwa,Active cases,0
2020-03-13,Samodah,Active cases,0
2020-03-13,Urayarah,Active cases,0
2020-03-14,AL Oyoun,Active cases,0
2020-03-14,Adh Dhibiyyah,Active cases,0
2020-03-14,Al Batahaa,Active cases,0
2020-03-14,Al Jafr,Active cases,0
2020-03-14,Al Mubarraz,Active cases,0
2020-03-14,Al Qaysomah,Active cases,0
2020-03-14,Al Suyariah,Active cases,0
2020-03-14,Ar Ruqi,Active cases,0
2020-03-14,As Sufairy,Active cases,0
2020-03-14,Bqeeq,Active cases,0
2020-03-14,Dahran,Active cases,0
2020-03-14,Dammam,Active cases,11
2020-03-14,Hafr Al Batin,Active cases,0
2020-03-14,Hardh,Active cases,0
2020-03-14,Hufof,Active cases,2
2020-03-14,Jubail,Active cases,0
2020-03-14,Khafji,Active cases,0
2020-03-14,Khobar,Active cases,0
2020-03-14,Mulayjah,Active cases,0
2020-03-14,Nairyah,Active cases,0
2020-03-14,Qaryat Al Ulya,Active cases,0
2020-03-14,Qatif,Active cases,21
2020-03-14,Ras Tanura,Active cases,0
2020-03-14,Safwa,Active cases,0
2020-03-14,Saihat,Active cases,0
2020-03-14,Salwa,Active cases,0
2020-03-14,Samodah,Active cases,0
2020-03-14,Urayarah,Active cases,0
2020-03-15,AL Oyoun,Active cases,0
2020-03-15,Adh Dhibiyyah,Active cases,0
2020-03-15,Al Batahaa,Active cases,0
2020-03-15,Al Jafr,Active cases,0
2020-03-15,Al Mubarraz,Active cases,0
2020-03-15,Al Qaysomah,Active cases,0
2020-03-15,Al Suyariah,Active cases,0
2020-03-15,Ar Ruqi,Active cases,0
2020-03-15,As Sufairy,Active cases,0
2020-03-15,Bqeeq,Active cases,0
2020-03-15,Dahran,Active cases,3
2020-03-15,Dammam,Active cases,11
2020-03-15,Hafr Al Batin,Active cases,0
2020-03-15,Hardh,Active cases,0
2020-03-15,Hufof,Active cases,2
2020-03-15,Jubail,Active cases,0
2020-03-15,Khafji,Active cases,0
2020-03-15,Khobar,Active cases,0
2020-03-15,Mulayjah,Active cases,0
2020-03-15,Nairyah,Active cases,0
2020-03-15,Qaryat Al Ulya,Active cases,0
2020-03-15,Qatif,Active cases,28
2020-03-15,Ras Tanura,Active cases,0
2020-03-15,Safwa,Active cases,0
2020-03-15,Saihat,Active cases,0
2020-03-15,Salwa,Active cases,0
2020-03-15,Samodah,Active cases,0
2020-03-15,Urayarah,Active cases,0
2020-03-16,AL Oyoun,Active cases,0
2020-03-16,Adh Dhibiyyah,Active cases,0
2020-03-16,Al Batahaa,Active cases,0
2020-03-16,Al Jafr,Active cases,0
2020-03-16,Al Mubarraz,Active cases,0
2020-03-16,Al Qaysomah,Active cases,0
2020-03-16,Al Suyariah,Active cases,0
2020-03-16,Ar Ruqi,Active cases,0
2020-03-16,As Sufairy,Active cases,0
2020-03-16,Bqeeq,Active cases,0
2020-03-16,Dahran,Active cases,4
2020-03-16,Dammam,Active cases,11
2020-03-16,Hafr Al Batin,Active cases,0
2020-03-16,Hardh,Active cases,0
2020-03-16,Hufof,Active cases,2
2020-03-16,Jubail,Active cases,0
2020-03-16,Khafji,Active cases,0
2020-03-16,Khobar,Active cases,0
2020-03-16,Mulayjah,Active cases,0
2020-03-16,Nairyah,Active cases,0
2020-03-16,Qaryat Al Ulya,Active cases,0
2020-03-16,Qatif,Active cases,26
2020-03-16,Ras Tanura,Active cases,0
2020-03-16,Safwa,Active cases,0
2020-03-16,Saihat,Active cases,0
2020-03-16,Salwa,Active cases,0
2020-03-16,Samodah,Active cases,0
2020-03-16,Urayarah,Active cases,0
2020-03-17,AL Oyoun,Active cases,0
2020-03-17,Adh Dhibiyyah,Active cases,0
2020-03-17,Al Batahaa,Active cases,0
2020-03-17,Al Jafr,Active cases,0
2020-03-17,Al Mubarraz,Active cases,0
2020-03-17,Al Qaysomah,Active cases,0
2020-03-17,Al Suyariah,Active cases,0
2020-03-17,Ar Ruqi,Active cases,0
2020-03-17,As Sufairy,Active cases,0
2020-03-17,Bqeeq,Active cases,0
2020-03-17,Dahran,Active cases,7
2020-03-17,Dammam,Active cases,11
2020-03-17,Hafr Al Batin,Active cases,0
2020-03-17,Hardh,Active cases,0
2020-03-17,Hufof,Active cases,2
2020-03-17,Jubail,Active cases,0
2020-03-17,Khafji,Active cases,0
2020-03-17,Khobar,Active cases,0
2020-03-17,Mulayjah,Active cases,0
2020-03-17,Nairyah,Active cases,0
2020-03-17,Qaryat Al Ulya,Active cases,0
2020-03-17,Qatif,Active cases,36
2020-03-17,Ras Tanura,Active cases,0
2020-03-17,Safwa,Active cases,0
2020-03-17,Saihat,Active cases,0
2020-03-17,Salwa,Active cases,0
2020-03-17,Samodah,Active cases,0
2020-03-17,Urayarah,Active cases,0
2020-03-18,AL Oyoun,Active cases,0
2020-03-18,Adh Dhibiyyah,Active cases,0
2020-03-18,Al Batahaa,Active cases,0
2020-03-18,Al Jafr,Active cases,0
2020-03-18,Al Mubarraz,Active cases,0
2020-03-18,Al Qaysomah,Active cases,0
2020-03-18,Al Suyariah,Active cases,0
2020-03-18,Ar Ruqi,Active cases,0
2020-03-18,As Sufairy,Active cases,0
2020-03-18,Bqeeq,Active cases,0
2020-03-18,Dahran,Active cases,7
2020-03-18,Dammam,Active cases,32
2020-03-18,Hafr Al Batin,Active cases,0
2020-03-18,Hardh,Active cases,0
2020-03-18,Hufof,Active cases,2
2020-03-18,Jubail,Active cases,0
2020-03-18,Khafji,Active cases,0
2020-03-18,Khobar,Active cases,0
2020-03-18,Mulayjah,Active cases,0
2020-03-18,Nairyah,Active cases,0
2020-03-18,Qaryat Al Ulya,Active cases,0
2020-03-18,Qatif,Active cases,36
2020-03-18,Ras Tanura,Active cases,0
2020-03-18,Safwa,Active cases,0
2020-03-18,Saihat,Active cases,0
2020-03-18,Salwa,Active cases,0
2020-03-18,Samodah,Active cases,0
2020-03-18,Urayarah,Active cases,0
2020-03-19,AL Oyoun,Active cases,0
2020-03-19,Adh Dhibiyyah,Active cases,0
2020-03-19,Al Batahaa,Active cases,0
2020-03-19,Al Jafr,Active cases,0
